text1,text2,llh
Wuthering Heights,呼啸山庄,0.45
--------------------------------------------------------------------------------,--------------------------------------------------------------------------------,1.0
Chapter 2,第二章,0.91
Chinese,英文,0.52
Yesterday afternoon set in misty and cold.,昨天下午又冷又有雾。,0.74
"I had half a mind to spend it by my study fire, instead of wading through heath and mud to Wuthering Heights.",我想就在书房炉边消磨一下午，不想踩着杂草污泥到呼啸山庄了。,0.45
"On coming up from dinner, however (N.B. I dine between twelve and one o'clock; the housekeeper, a matronly lady, taken as a fixture along with the house, could not, or would not, comprehend my request that I might be served at five), on mounting the stairs with this lazy intention, and stepping into the room, I saw a servant girl on her knees surrounded by brushes and coal-scuttles, and raising an infernal dust as she extinguished the flames with heaps of cinders.",但是，吃过午饭（注意――我在十二点与一点钟之间吃午饭，而可以当作这所房子的附属物的管家婆，一位慈祥的太太却不能，或者并不愿理解我请求在五点钟开饭的用意），在我怀着这个懒惰的想法上了楼，迈进屋子的时候，看见一个女仆跪在地上，身边是扫帚和煤斗。,0.72
,她正在用一堆堆煤渣封火，搞起一片弥漫的灰尘。,
,这景象立刻把我赶回头了。,
"This spectacle drove me back immediately; I took my hat, and, after a four-miles' walk, arrived at Heathcliff's garden gate just in time to escape the first feathery flakes of a snow shower.",我拿了帽子，走了四里路，到达了希刺克厉夫的花园口口，刚好躲过了一场今年初降的鹅毛大雪。,0.68
"On that bleak hill top the earth was hard with a black frost, and the air made me shiver through every limb.",在那荒凉的山顶上，土地由,0.43
